participant,Progress,Duration..in.seconds.,Finished,ResponseId,DistributionChannel,UserLanguage,meta_Browser,meta_Version,meta_Operating.System,meta_Resolution,cat_json,eise_json,lnpk_json,mpeh_json,woln_json,demi_json,nwsr_json,prev_exp,prev_last,prev_first,prev_freq,adv_exp,adv_skill,adv_helpf,adv_imp_1,rel_exp,rel_skill,avg_perf_1,adv_perf_1,input,input_7_TEXT,browser,browser_6_TEXT,animals,age,gender,catch,catch_4_TEXT,language,language_3_TEXT,language_2_TEXT,bugreport,hyp,comments,condition,ResponseID,Q_TotalDuration,inst_bar,inst_crab,inst_barb,inst_mat,eise_c,lnpk_c,mpeh_c,woln_c,demi_c,nwsr_c
887,100,1491,TRUE,R_3e9TmtRry8vhtsn,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,Cst1v6uQn8  ,brf1kIbxnE  ,wXNv5yvasa  ,zzlwTENUWp  ,ipLy5qazur  ,cPUPeCxjC8  ,ZkN1scDQCo  ,"Yes, I've played some version of this game before",Within the last 6 months,Within the last year,A few times a month,They were less skilled than most people,They were less skilled than me,6,37,I was less experienced than most people,I was as skilled as most people,5,2,"With a computer mouse

",,Internet Explorer,,"lion ,tigar,zipra,momky,dog",41,Male,Other,orange,"Yes, I only spoke English growing up",,,good,good,good,goodadvice,R_3e9TmtRry8vhtsn,1491,0,0,0,0,0,2,2,2,2,1
888,100,676,TRUE,R_2QDr6eYgc0rgbHT,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1920x1080,shtxqES8HU  ,DavYUqd1sk  ,cbHtRkbUln  ,lle6KSoEqc  ,01CXZHWuu  ,yEXT8gVxh  ,4JCdTI9S51  ,"No, I've never played any version of this game before",,,I never play word-finding games,They were about as skilled as most people,They were about as skilled as me,7 - Extremely helpful,55,I was as experienced as most people,I was as skilled as most people,10,15,"With a computer mouse

",,Google Chrome,,"dog, tiger, cat, lion, whale, shark, fish, cheetah, pig, cow, horse, hamster, mouse, rat, squirrel, bird, hawk, eagle, penguin, deer, fox, wolf, rabbit, bison, buffalo, bobcat, leopard, raccoon, ",27,Female,Other,orange,"Yes, I only spoke English growing up",,,,to see our skills,,goodadvice,R_2QDr6eYgc0rgbHT,676,0,0,0,0,7,5,11,10,8,15
889,100,1556,TRUE,R_A7Bgp0hHNuHvINH,anonymous,EN,Chrome,88.0.4324.104,Windows NT 6.3,1364x768,Pvaq2fT9Re  , jx7FfVu2qz  ,6EOdSSOTEN  , oPRoQDCymG  ,PKjEOOu1Hf  ,UqOMSe7QMO  ,HUB4K03d2Y  ,"No, I've never played any version of this game before",,,A few times a month,They were less skilled than most people,They were about as skilled as me,7 - Extremely helpful,84,I was as experienced as most people,I was less skilled than most people,3,3,"With a computer mouse

",,Google Chrome,,"zebbra, cat, dog , monkey, horse,kangaroo, snake, lion, giraffle",35,Male,Other,orange,"Yes, I only spoke English growing up",,,"no, satisfied to me great deal",survey about games and puzzles,good,badadvice,R_A7Bgp0hHNuHvINH,1556,1,1,1,0,3,2,2,2,4,3
890,100,1423,TRUE,R_3DtPDvXyW2F78wi,anonymous,EN,Chrome,88.0.4324.182,Windows NT 6.2,1366x768,tEFfGSGvYq  , TdRpBg7mmi  ,f3lQ7go1h9  ,9n9JppZZFO  ,2C2fFHII2P,HkLLN8t0Bm  ,gbMU3XHM4r  ,"Yes, I've played some version of this game before",Within the last week,Within the last year,A few times a month,They were less skilled than most people,They were less skilled than me,5,72,I was less experienced than most people,I was less skilled than most people,2,2,"With a computer mouse

",,Google Chrome,,"lion, rabitt, elephant, ",30,Female,Other,orange,"Yes, I only spoke English growing up",,,no,Play a game,good,goodadvice,R_3DtPDvXyW2F78wi,1423,0,0,1,0,0,3,3,4,4,4
891,100,1537,TRUE,R_3Po2UmPzCIjypyN,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,FgCNq8KHFQ  ,2P61UuWq8U  ,cjFIBfXPD7  ,eQiaWLybme  ,Kuwwcmhwfe  ,VTrLfez8de  ,SNlyfUJzU  ,I'm not sure,,,Less than once a year,They were about as skilled as most people,They were about as skilled as me,4,52,I was less experienced than most people,I was less skilled than most people,1,1,"With a computer mouse

",,Google Chrome,,Game,30,Male,Other,orange,"Yes, I only spoke English growing up",,,,,,goodadvice,R_3Po2UmPzCIjypyN,1537,1,0,0,0,1,1,4,4,4,4
893,100,797,TRUE,R_a9OBTeHCDkfQA1j,anonymous,EN,Firefox,85,Windows NT 10.0,1536x864,Hj97CxzIPO,5rxElaaDjz,yiWO1JZ46M,4lKJViiZtP,uuiQJ7HBkH  ,oLdiDYrbhu  ,nKwNONwKbx  ,"Yes, I've played some version of this game before",Within the last 6 months,More than 5 years ago,A few times a week,They were about as skilled as most people,They were more skilled than me,7 - Extremely helpful,61,I was as experienced as most people,I was as skilled as most people,7,8,"With a computer mouse

",,Mozilla Firefox,,"Cat, dog, elephant, tiger, emu, robbin, owl, ferret, mouse, rat, wolf, gazelle, hyena, panda, pig, porcupine,",28,Female,Other,orange,"Yes, I only spoke English growing up",,,No issues.,Not sure.,"None, thank you.",badadvice,R_a9OBTeHCDkfQA1j,797,1,1,1,0,6,6,9,7,6,8
894,100,864,TRUE,R_vrgFasyefr5MEzD,anonymous,EN,Chrome,88.0.4324.104,Windows NT 10.0,1366x768,QCATL,DoKeEWZTRp  ,DoKeEWZTRp  ,DoKeEWZTRp  ,DoKeEWZTRp  ,DoKeEWZTRp  ,DoKeEWZTRp  ,"Yes, I've played some version of this game before",Within the last year,Within the last 3 years,A few times a month,They were about as skilled as most people,They were less skilled than me,6,88,I was less experienced than most people,I was as skilled as most people,32,2,"Pointing Stick

",,Google Chrome,,Have dog is best animal in home ,37,Prefer not to answer,Other,orange,"Yes, I only spoke English growing up",,,good study,paly game,none,badadvice,R_vrgFasyefr5MEzD,864,NA,NA,NA,NA,0,0,0,0,0,0
896,100,1421,TRUE,R_1q8HoJL2NyM82z6,anonymous,EN,Chrome,88.0.4324.190,Windows NT 10.0,1366x768,GdV1aKheOB,ghBDdmCSZP,UeeKMERmtP  ,cGeYhlSCY  ,oTjBlrMvMc  ,i5bJZYEYd  ,ETK1KemjPe,"Yes, I've played some version of this game before",Within the last month,Within the last 6 months,A few times a month,They were less skilled than most people,They were more skilled than me,6,94,I was as experienced as most people,I was less skilled than most people,2,1,"With a computer mouse

",,Google Chrome,,good i like it survey,36,Male,Other,orange,"Yes, I only spoke English growing up",,,good survey,good,good,badadvice,R_1q8HoJL2NyM82z6,1421,0,0,0,1,0,0,0,0,2,1
897,100,1613,TRUE,R_3EGwvRPolANG3FE,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,JB6tyFjLdC,dgqLBcZkh2,gm6WUCvcYK,abL7tU5May,LDCV8eZODd,9mzWYMkNx3,36i6yF0mqE,"No, I've never played any version of this game before",,,A few times a week,They were more skilled than most people,They were more skilled than me,6,82,I was more experienced than most people,I was as skilled as most people,10,20,"With a computer mouse

",,Google Chrome,,"cat, tiger, dog, rabbit, lion, elephant, zebra, graffic, mouse, rat, pig, deer,",27,Female,Other,orange,"Yes, I only spoke English growing up",,,nice,play a game ,nice survey,goodadvice,R_3EGwvRPolANG3FE,1613,0,0,0,1,0,0,0,0,0,0
898,100,835,TRUE,R_3J4s3ArvliNQf37,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1364x768,ax6iuQ80fK,pumP1rN2rx  ,6RudogpiaX  ,uWdrV91jSr  ,BT7y6Cg4gn  ,ssidmTxhzd  ,PW91CSvMkb  ,"No, I've never played any version of this game before",,,Less than once a year,They were about as skilled as most people,They were about as skilled as me,5,76,I was less experienced than most people,I was less skilled than most people,2,2,"With a computer mouse

",,Google Chrome,,"Lion
Panda
Tiger
Dog
Wolf
Horse
",28,Male,Other,orange,"Yes, I only spoke English growing up",,,No,A study about people's knowledge,No,badadvice,R_3J4s3ArvliNQf37,835,0,0,1,0,0,3,2,2,2,0
899,100,875,TRUE,R_2aFuTnNR5o4KRqs,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,lcxMgCwBvb  ,dzGZNSbycj  ,SJOEUqB8BS  ,49oKKy891B  ,DWXmxsvIF1  ,HFLt5d4kSm  ,3jgk5QkKC6  ,"No, I've never played any version of this game before",,,A few times a year,,,,NA,I was as experienced as most people,I was less skilled than most people,10,,"With a computer mouse

",,Google Chrome,,"cat,dog,elephant,bird,dolphin,whale,goldfish,lion,tiger,hippo,monkey,ape,turtle,dinosaur,rhinoceerous,kangaroo,squirrel,rat,mouse,",64,Female,Other,orange,"Yes, I only spoke English growing up",,,,no clue,,control,R_2aFuTnNR5o4KRqs,875,1,0,1,0,7,9,11,10,13,14
900,100,1087,TRUE,R_3MQGLeoUGmuNDiU,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,DNz350vrY,BOZfijXv7j  ,kGzqzPwQ8i  ,E4rqTERboT  ,C1qagpmIiW  ,sXbqIQT9I  ,lR1SVyvM0y  ,"No, I've never played any version of this game before",,,A few times a month,,,,NA,I was as experienced as most people,I was as skilled as most people,3,,"With a computer mouse

",,Google Chrome,,"cat,cow,goat,lion,chicken,leopard,sheep,girrafe",35,Male,Other,orange,"Yes, I only spoke English growing up",,,None,word scramble.,,control,R_3MQGLeoUGmuNDiU,1087,0,0,0,1,1,1,3,1,4,3
901,100,1473,TRUE,R_1OvssbKyHdtHchE,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1280x720,tqfhaNnVi,lpFEhlKjc  ,vsn08mN1Ns  ,M3q0kfEE1I  ,iOHikHhCHd,nQ7UmLKlNl  ,ateLk2iKuq  ,"No, I've never played any version of this game before",,,A few times a year,,,,NA,I was as experienced as most people,I was as skilled as most people,3,,"With a computer mouse

",,Google Chrome,,"LION,GIRAFFE,TIGER,ELEPHANT,COW,BUFFALO",34,Male,Other,orange,"Yes, I only spoke English growing up",,,,,,control,R_1OvssbKyHdtHchE,1473,0,0,1,1,0,0,0,0,0,0
902,100,1695,TRUE,R_1eCRjsgVkgaMrRr,anonymous,EN,Chrome,88.0.4324.182,Windows NT 6.1,1366x768,rjoJ9c2pD  ,vJVX8hq6XW  ,2Z646zxeGB  ,a5VUpSwuGJ  ,ahRCUz4Vxl  ,jGTvhppUpd  ,clxnUbcK1e  ,"Yes, I've played some version of this game before",Within the last 6 months,Within the last 3 years,A few times a year,They were more skilled than most people,They were more skilled than me,7 - Extremely helpful,100,I was more experienced than most people,I was more skilled than most people,5,5,"With a computer mouse

",,Google Chrome,,"dog,cat,lion,tiger",35,Female,Other,orange,"Yes, I only spoke English growing up",,,no broblems,the conducting an academic survey about games and puzzles,nice,badadvice,R_1eCRjsgVkgaMrRr,1695,0,0,1,0,0,0,0,0,0,0
903,100,1362,TRUE,R_31TAgsJUBIqQUbT,anonymous,EN,Chrome,87.0.4280.88,Windows NT 10.0,1280x720,ZKFg1PlHkH,o0Z2gu93HR,1F4bGdxR71,ImlRQ51ehy,XPOkFHVMzw,6RnG9psZFo,H3Bi7aOhu  ,"No, I've never played any version of this game before",,,A few times a year,,,,NA,I was as experienced as most people,I was as skilled as most people,3,,"With a computer mouse

",,Google Chrome,,"Lion, dog, cat",35,Male,Other,orange,"Yes, I only spoke English growing up",,,,survey about games and puzzles,,control,R_31TAgsJUBIqQUbT,1362,1,0,1,1,0,0,0,0,0,0
905,100,1141,TRUE,R_0IcB7IwDusDzKoh,anonymous,EN,Chrome,88.0.4324.150,Windows NT 10.0,1920x1080,ZqflxkdaJ3,LvWqIPlkbz,86giz9MzYz,sdlh8X6Nx4,vzPyPw3mHW,V69JgMzYfB,RJnrclYIEk,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,,,,NA,I was as experienced as most people,I was as skilled as most people,10,,"With a computer mouse

",,Google Chrome,,"alligator, crocodile, cat, dog, monkey, giraffe, lion, tiger, bear, panther, cougar, elephant, hippo, moose, deer, camel, horse, bird, squirrel",41,Female,Other,orange,"Yes, I only spoke English growing up",,,No,Word scramble games,,control,R_0IcB7IwDusDzKoh,1141,1,0,0,0,6,12,12,11,14,14
906,100,1808,TRUE,R_3Ey6b1VPT9XFPxU,anonymous,EN,Chrome,88.0.4324.104,Windows NT 6.3,1364x768,ZGV3HJjjma ,KTeSyVxgr7,CRfkqG33BS,8NoGRwHdkt,xnluJDc7if,gECZwDbrc,pGPq873HHN,"Yes, I've played some version of this game before",Within the last month,Within the last year,A few times a year,They were less skilled than most people,They were about as skilled as me,5,72,I was less experienced than most people,I was as skilled as most people,3,2,"With a computer mouse

",,Google Chrome,,good and interesting useful,43,Male,Other,orange,"Yes, I only spoke English growing up",,,good,good,good,badadvice,R_3Ey6b1VPT9XFPxU,1808,0,0,1,1,2,2,4,0,0,0
907,100,903,TRUE,R_2qmA1LVTxc7BG5Y,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1920x1080,kRysQpzxWh ,vEXKxreC6G ,9sNZuEtWHY,e9Z7TFqe00,QwoQSK9v1J,6tQuZiw5op,bY6Ct2TheM,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,They were about as skilled as most people,They were about as skilled as me,3,8,I was as experienced as most people,I was as skilled as most people,5,5,"With a computer mouse

",,Google Chrome,,"cat, dog, shark, fish, cow, horse, goat, pig, bird, elephant, tiger, lion, bear, moose, beaver, mouse, squirrel, ferret, hamster, penguin, chicken",38,Female,Other,orange,"Yes, I only spoke English growing up",,,no,my ability at word games,thank you,badadvice,R_2qmA1LVTxc7BG5Y,903,0,0,0,0,13,18,17,20,15,13
908,100,1444,TRUE,R_1lahEPMiPuf8Uey,anonymous,EN,Firefox,85,Windows NT 10.0,1366x768,4ayvaQ5yKg,qtKwwNnGHJ  ,93xeMbmxHK,aPBNVqXsO1,lDLDqddzpN,5OmOfBJ2g8,C2fMPWrIZ5,"No, I've never played any version of this game before",,,A few times a week,,,,NA,I was as experienced as most people,I was as skilled as most people,2,,"With a computer mouse

",,Mozilla Firefox,,"TAP, FAST , EASY, TEST, PAIR",56,Male,Other,orange,"Yes, I only spoke English growing up",,,cannot do the experiment fast ,play a game,no,control,R_1lahEPMiPuf8Uey,1444,0,0,0,0,2,5,5,4,5,1
909,100,956,TRUE,R_2fJ4fNtCtV9VQoX,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1536x864,xQczbR2REf,mjipfQt7qv,xSaO2qYPqe,X7lELn97PW,GK5lhYO2Hp  ,xRMX6D1Bmr,TZQzle6Icb,"No, I've never played any version of this game before",,,I never play word-finding games,,,,NA,I was less experienced than most people,I was less skilled than most people,8,,"With a computer mouse

",,Google Chrome,,"dog, cat, mouse, rat, leopard, lion, tiger, panther, cougar, mountain lion, zebra, giraffe,",56,Female,Other,orange,"Yes, I only spoke English growing up",,,none,unsure,none,control,R_2fJ4fNtCtV9VQoX,956,0,0,0,1,5,7,8,3,9,6
910,100,959,TRUE,R_31Lu96tHsS05cgI,anonymous,EN,Chrome,88.0.4324.150,Windows NT 10.0,1366x768,RooSjVM2kp,L3GUkqIasF,baFLE4Ffoy,oJwO7sxRuy,O5E8wCr9Yp ,7xvhHb6HiQ  ,0cakSoaV7V  ,"No, I've never played any version of this game before",,,A few times a week,They were less skilled than most people,They were less skilled than me,6,87,I was less experienced than most people,I was less skilled than most people,5,7,"With a computer mouse

",,Google Chrome,,TIGER LIO,34,Male,Other,orange,"Yes, I only spoke English growing up",,,,,,goodadvice,R_31Lu96tHsS05cgI,959,0,1,1,0,3,4,7,3,10,7
911,100,725,TRUE,R_XzC8D1rhXElA1VL,anonymous,EN,Chrome,88.0.4324.150,Windows NT 10.0,1920x1080,I5UPdVcdVi,mbThx80WMQ,3Oc7ZkQH,dyphKK4hH,15CfDmIJv2,OtlsbUsnnb,ovHscgu4tL,"Yes, I've played some version of this game before",Over a year ago,More than 5 years ago,Less than once a year,,,,NA,I was as experienced as most people,I was as skilled as most people,15,,"With a computer mouse

",,Google Chrome,,"elephant, deer, pig, chicken, lamb, llama, lion, tiger, bear, elk, moose, bird, fish, shark, mouse, rat, squirrel, chipmunk, gazelle, impala",28,Female,Other,orange,"Yes, I only spoke English growing up",,,,I'm not sure.,,control,R_XzC8D1rhXElA1VL,725,1,0,0,0,15,13,12,13,17,14
912,100,1038,TRUE,R_vAMDSOGGgvyt9Jf,anonymous,EN,Chrome,88.0.4324.190,Windows NT 10.0,1710x968,BhnJI2nNyi  ,QFN12Cd5cQ  ,5Cr6RlmFVs  ,w3toZVnZ3g  ,LeqCx46Hw  ,uByHr2nbO ,1iG5tBPO5P  ,I'm not sure,,,A few times a year,They were about as skilled as most people,They were more skilled than me,7 - Extremely helpful,81,I was less experienced than most people,I was less skilled than most people,4,5,"With a trackpad

",,Google Chrome,,"bear, cat, cow, sheep, tiger,  lion, ",35,Male,Other,orange,"Yes, I only spoke English growing up",,,no,study was about sharp mind,Interesting game,badadvice,R_vAMDSOGGgvyt9Jf,1038,0,0,0,0,3,2,3,3,2,4
913,100,1374,TRUE,R_2CK4DKKJKQWinQT,anonymous,EN,Chrome,88.0.4324.190,Windows NT 6.3,1366x768,0iBPHPV8ZF  ,n8EO2tqa4S  ,yQvgN3FP5L  ,arrxpEetuI  ,fBdTLQhozx  ,ivfh9irKYM  ,2SFwNqRyID  ,"Yes, I've played some version of this game before",Within the last 6 months,Within the last 6 months,A few times a month,,,,NA,I was less experienced than most people,I was less skilled than most people,4,,"With a computer mouse

",,Google Chrome,,"cat, dog, mouse, tiger, lion, giraffe, camel, cheetah, rino",27,Female,Other,orange,"Yes, I only spoke English growing up",,,no,about decision making,good,control,R_2CK4DKKJKQWinQT,1374,1,1,1,0,3,6,2,1,4,6
914,100,2048,TRUE,R_eqX9Xb3bTq4Xrj3,anonymous,EN,Chrome,88.0.4324.150,Windows NT 6.3,1440x900,kV9wdjyOnV,ukjMFjID4F,P1DVkz5BFL,VpBmNl4ETL,LrJo7P6hOH,HkeXKxXhvz,6vqW1R4hV5,"Yes, I've played some version of this game before",Within the last year,Within the last 3 years,A few times a year,They were more skilled than most people,They were more skilled than me,7 - Extremely helpful,100,I was less experienced than most people,I was as skilled as most people,4,5,"With a computer mouse

",,Google Chrome,,"Dog, Cat, Coat, Snake, Cow, Mouse, Fish, H",40,Female,Other,orange,"Yes, I only spoke English growing up",,,No,Good intelligent game and more interesting.,None,goodadvice,R_eqX9Xb3bTq4Xrj3,2048,0,0,0,1,3,1,3,3,2,4
915,100,1058,TRUE,R_1EhUi6bR1z333zV,anonymous,EN,Chrome,88.0.4324.190,Windows NT 6.1,1360x768, blLO30jHmy,VnjoimPLJ  ,gcIWJHBB8j  ,njS8DRbTVr  ,OZeq5F6ryN  ,ZPnku2s12  ,aShBiPIERm  ,I'm not sure,,,A few times a year,,,,NA,I was less experienced than most people,I was less skilled than most people,12,,"With a computer mouse

",,Google Chrome,,"dog, cat, hamster, fish, monkey, duck, tiger, bears, lions, seals, giraffs, elephants, birds ",37,Male,Other,orange,"Yes, I only spoke English growing up",,,"yes, your title is an error. It should say at least 15 mins instead of 10 mins. ",to see how different demographics respond. And to upset people.,,control,R_1EhUi6bR1z333zV,1058,0,0,1,0,2,5,8,6,7,13
916,100,893,TRUE,R_30uvX4ZsauN4pbT,anonymous,EN,Chrome,88.0.4324.186,CrOS x86_64 13597.94.0,1366x768,y64XrOnUBg,qbH9KDMUnn ,OiCZLqofhQ,J8XGB2cow,GJK0F8Z9kO,HhMHHK7C1h,QgMuoN68BD,"No, I've never played any version of this game before",,,I never play word-finding games,They were about as skilled as most people,They were about as skilled as me,4,8,I was less experienced than most people,I was as skilled as most people,7,5,"With a trackpad

",,Google Chrome,,"giraffe,cat,dog,mouse,snake,fish,cow,horse,sheep,goat,pig,bird,squirrel,rabbit",31,Female,Other,orange,"Yes, I only spoke English growing up",,,no,not sure,extremely underpaid,badadvice,R_30uvX4ZsauN4pbT,893,1,1,1,0,4,6,6,7,7,7
918,100,1686,TRUE,R_2aRyF1mhT9jE6ny,anonymous,EN,Chrome,88.0.4324.190,Windows NT 10.0,1364x768,3gZoK7XVET  ,COZeifvKyQ  ,eanSCMWCL  ,vNOuBCgVgf  ,vaQ1W5vIT6  ,TJWx49EHJP  ,wlJPnetPua  ,"No, I've never played any version of this game before",,,A few times a month,They were more skilled than most people,They were about as skilled as me,6,93,I was as experienced as most people,I was as skilled as most people,2,4,"With a computer mouse

",,Google Chrome,,"Lion, tiger, deer, bear, ox, bull, snake, leopard, panda, seal, giraffe",25,Female,Other,orange,"Yes, I only spoke English growing up",,,good,Opinion survey,good,badadvice,R_2aRyF1mhT9jE6ny,1686,0,1,0,1,2,1,2,6,4,3
919,100,808,TRUE,R_264NqXeV5JkRPnO,anonymous,EN,Firefox,85,Macintosh,1440x900,5UywbGunFO,JFVHmParx,sZrw4Suuq7,sFx1MhTaYi,KIjgCbBScP,fi8ROhjoxW,kZzzmR06IQ,"No, I've never played any version of this game before",,,A few times a year,They were about as skilled as most people,They were about as skilled as me,6,95,I was less experienced than most people,I was as skilled as most people,5,6,"With a trackpad

",,Mozilla Firefox,,"bird, dolphin, tiger, lion, bear, alligator, frog, grasshopper, elephant, monkey, fish, shark, whale, seal, penguins, dinosaurs, kangaroo, snakes, cats, dogs",43,Female,Other,orange,"Yes, I only spoke English growing up",,,None; it worked great,To determine how our performance improves with a new task over multiple rounds,None,badadvice,R_264NqXeV5JkRPnO,808,1,0,0,0,1,4,7,4,5,7
920,100,1480,TRUE,R_1DumBCO0e1aWrUZ,anonymous,EN,Chrome,88.0.4324.150,Windows NT 10.0,1366x768,Naig7K5JZV  ,j7ZhehDYUf  ,cCH8cQ3kOg  ,yhVNfys0Ez,hLVzQvS1Vd  ,Zj3hsUdTOg  ,7yz0DYwLuc  ,"No, I've never played any version of this game before",,,A few times a year,They were more skilled than most people,They were more skilled than me,6,82,I was as experienced as most people,I was more skilled than most people,8,8,"With a computer mouse

",,Google Chrome,,"dog, cat, pig, elephant, donkey, giraffe, zebra, lion, tiger, monkey",37,Female,Other,orange,"Yes, I only spoke English growing up",,,No,This study is about word gaming.,I like tis study very much.,goodadvice,R_1DumBCO0e1aWrUZ,1480,0,0,1,1,0,0,0,0,0,0
921,100,1034,TRUE,R_e5RMzTIla9PD6Df,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,EH7gG1vr2u  ,491YSTgvJw  ,O4KWTwe54d  ,N5BgfwYpPh  ,ZV2pRd1vkp  ,Ycb63ySiGQ  ,0ElieVWzSx  ,"Yes, I've played some version of this game before",Within the last month,Within the last year,A few times a month,,,,NA,I was as experienced as most people,I was as skilled as most people,5,,"With a computer mouse

",,Google Chrome,,"lion
tiger
deer
",43,Male,Other,orange,"Yes, I only spoke English growing up",,,no problems,study is well,nice,control,R_e5RMzTIla9PD6Df,1034,0,0,0,1,3,0,4,2,2,1
922,100,942,TRUE,R_24FY8xcNC5847TX,anonymous,EN,Chrome,88.0.4324.190,Windows NT 10.0,1680x1050,7I4d38niq2,01H2UmGLfj,yUIfLWz8EO,XqrConjoeR,UIRBi4Oq5C,YaeFMIKd7,7uzRdZngpa,"No, I've never played any version of this game before",,,Less than once a year,,,,NA,I was less experienced than most people,I was as skilled as most people,5,,"With a computer mouse

",,Google Chrome,,"horse, zebra, lion, giraffe, hippo, cat, dog, monkey, camel, bear, bird, fish, chameleon, rat, mouse, hamster, snake, frog, ",34,Male,Other,orange,"Yes, I only spoke English growing up",,,no,how much people improve with subsequent tries at the game.,no,control,R_24FY8xcNC5847TX,942,1,0,1,0,5,4,8,10,3,7
923,100,836,TRUE,R_1r247lZteysPfBt,anonymous,EN,Chrome,88.0.4324.190,Windows NT 10.0,1920x1080,3jGTFteLXK,dbOMt0WjTR ,DCbpSecMVU ,EmQIPgz7Zk  ,0hthfT76cC,EUtelg19G ,XurZkOwH5J,"No, I've never played any version of this game before",,,Less than once a year,They were more skilled than most people,They were more skilled than me,6,60,I was less experienced than most people,I was less skilled than most people,7,15,"With a computer mouse

",,Google Chrome,,"cat, dog, cow, rat, chicken, elephant, lion, panther, bird, deer, wolf, po",26,Male,Other,orange,"Yes, I only spoke English growing up",,,No,I'm not sure.,None,goodadvice,R_1r247lZteysPfBt,836,0,0,1,0,4,4,9,7,11,10
924,100,1433,TRUE,R_sOsK8IEZK3RdXsR,anonymous,EN,Chrome,88.0.4324.190,Windows NT 6.3,1366x768,X76P6if7xq  ,Z73HLEF3gK  ,YnCpIxi1cr  ,wxkWfXuhLY  ,qfiErIrNK  ,eulxLlbXsS  ,oQ79n9cpN3  ,"Yes, I've played some version of this game before",Within the last year,More than 5 years ago,Less than once a year,They were about as skilled as most people,They were more skilled than me,6,60,I was less experienced than most people,I was less skilled than most people,1,3,"With a computer mouse

",,Google Chrome,,"goat, cat , dog, chicken, cow, monkey, lion, tiger, eagle, raven, rat.",54,Male,Other,orange,"Yes, I only spoke English growing up",,,no,I really do not know now.,none,badadvice,R_sOsK8IEZK3RdXsR,1433,0,0,0,1,2,1,5,3,3,5
925,100,1611,TRUE,R_12LIz9Upj27ZKNO,anonymous,EN,Chrome,88.0.4324.182,Windows NT 6.3,1366x768, 86h30MqiHY  , 3auCbmc0WW ,gopJIkQYf  ,bFdPvIvF7h  , hEgZJTSulV  , DhD8b7RqIU  ,oncFrprBej ,"Yes, I've played some version of this game before",Within the last month,Within the last 6 months,A few times a month,They were about as skilled as most people,They were about as skilled as me,6,84,I was as experienced as most people,I was as skilled as most people,3,3,"With a computer mouse

",,Google Chrome,,"tiger
elephant
lion
zebra
camel
deer
buffello
leopard
gangaro
",32,Female,Other,orange,"Yes, I only spoke English growing up",,,no, conducting an academic survey about games and puzzle,good,badadvice,R_12LIz9Upj27ZKNO,1611,0,0,0,1,3,2,3,2,1,4
926,100,1787,TRUE,R_yHFhlG57RWUidfH,anonymous,EN,Chrome,88.0.4324.190,Windows NT 10.0,1364x768,NLJcelPBsr  ,WpHBbOOy6T  ,PYnOcBxx1  ,n6Lqkop59z  ,fHx0UES5Eh,c0WqOSa8On  ,i7mJmMc3Ds  ,"Yes, I've played some version of this game before",Within the last month,Within the last month,A few times a month,They were less skilled than most people,They were about as skilled as me,6,82,I was less experienced than most people,I was as skilled as most people,1,1,"With a computer mouse

",,Google Chrome,,,30,Male,"Gender, marital status, and education",,"Yes, I only spoke English growing up",,,n/a,n/a,n/a,goodadvice,R_yHFhlG57RWUidfH,1787,0,0,1,1,0,0,0,0,0,0
927,100,878,TRUE,R_3PMpxe7QuhUH55Y,anonymous,EN,Chrome,88.0.4324.182,Windows NT 10.0,1366x768,jNoIgkKOnP  ,obPqyTp4w9  ,z17qVrYP6S  ,0hOXQb44iv  ,8R8nJSXFRW,fIs9eqbf6H  ,Mf5uqnVP2  ,"Yes, I've played some version of this game before",Within the last week,Within the last 6 months,A few times a week,They were less skilled than most people,They were about as skilled as me,7 - Extremely helpful,88,I was more experienced than most people,I was as skilled as most people,56,54,"With a computer mouse

",,Google Chrome,,IS A VERY GOOD AND FINE A LIFE ARE LOVELY A TIME,30,Male,Other,orange,"Yes, I only spoke English growing up",,,NONE,life use,none,goodadvice,R_3PMpxe7QuhUH55Y,878,0,1,1,1,1,0,5,4,1,2
